agency.first_name.closing;Car Vivre est un Art
agency.first_name.founder;La fondatrice
agency.first_name.paragraph1;Se lancer dans l'entreprenariat, c'est avoir un enfant, lui donner un prénom, l'armer pour la vie, l'inspirer et le faire grandir. J'ai choisi Egon, un prénom autrichien. Egon, comme Egon Schiele, le grand Expressionniste. Une figure inspirante à l'œuvre prolifique, où le Je devient Jeu, Un phare dans mes imaginaires qui a exacerbé mes premières émotions.
agency.first_name.paragraph2;Egon, 4 lettres puissantes qui ont le goût du voyage. Egon, c'est aujourd'hui une agence conseil en communication dédiée à l'art de vivre, libre, créative et engagée.
agency.first_name.pronunciation;Comment prononcer mon prénom ?
agency.first_name.side_title;EGON - Prénom
agency.first_name.why_egon;Pourquoi Egon ?
agency.founder.title;La fondatrice
agency.founder.paragraph1;Bâtisseuse créative et exigeante, hédoniste passionnée, amoureuse du dialogue et des correspondances, experte en communication depuis plus de 20 ans pour le compte de maisons de luxe, avec une sensibilité particulière pour les arts de vivre.
agency.founder.paragraph2;Elle a choisi de s'entourer d'un collectif d'indépendants sensibles aux codes du luxe et experts de l'image qu'elle fédère en mode projet : Directeurs Artistiques, Écrivains, Motion Designers, Graphistes, Réalisateurs, Photographes, Développeurs Web…, pour donner vie à son rêve, celui de vous accompagner, avec cœur et engagement.
agency.founder.contact_me;Contactez-moi :
agency.manifest.side_title;EGON - Manifeste
agency.manifest.paragraph1_number;N°01
agency.manifest.paragraph1_text;Expressif et radical, il touche, interpelle, sublime, décrit, réinvente, véritable stratège épi.curieux, voué à l'expression du beau par le sens juste et exact, le lien, l'image et le mot, il procure le rêve et provoque l'émotion.
agency.manifest.paragraph1_title;Artiste par nature
agency.manifest.paragraph2_number;N°02
agency.manifest.paragraph2_text;L'esprit nomade, Il se nourrit d'hier pour mieux appréhender demain, pragmatique, actif et inspiré, Il pense les arts de Vivre avec conscience, passion et rigueur.
agency.manifest.paragraph2_title;Enraciné dans la terre
agency.manifest.paragraph3_number;N°03
agency.manifest.paragraph3_text;Il évolue dans un environnement créatif à géométrie variable, qu'il s'est choisi.
agency.manifest.paragraph3_title;Philanthrope décomplexé
agency.manifest.paragraph4_number;Tour à tour,
agency.manifest.paragraph4_text;Egon est un électron libre, créatif et engagé.
agency.manifest.paragraph4_title;Éclaireur et éclairé
agency.philosophy.closing;Egon, c'est un ensemble de valeurs, un collectif d'hommes et de femmes bienheureux, convaincus et indépendants, habités par une envie de créer mieux et engagés pour Être plutôt qu'Avoir.
agency.philosophy.contact_us;Contactez-nous :
agency.philosophy.paragraph1_text;voué à l'expression du beau par le sens juste et exact, l'image et le mot.
agency.philosophy.paragraph1_title;expert des maisons de luxe et amoureux de l'art de vivre,
agency.philosophy.paragraph2_text;aussi émotionnelle qu'intemporelle, est fondatrice et fédératrice et permet à vos équipes, vos clients, vos amis de s'unir dans un idéal, et de voir loin, pour longtemps.
agency.philosophy.paragraph2_title;Un complice convaincu qu'une Direction Artistique singulière,
agency.philosophy.paragraph3_text;parce qu'aujourd'hui communiquer différemment n'est plus une question mais une mission pour projeter un futur désirable cohérent. L'authenticité des messages, la transparence, le respect, la communication directe, franche et collaborative sont autant d'actes positifs générateurs de confiance, de véritables enjeux éthiques auxquels nous croyons fondamentalement.
agency.philosophy.paragraph3_title;Un acolyte qui a la détermination de penser une Direction Artistique responsable
agency.philosophy.paragraph4_title;Egon vous offre une création au service d'une performance durable.
agency.philosophy.paragraph5_text;c'est une humble prise de conscience du monde actuel et une volonté d'appartenir au monde de demain, un monde où l'on communique mieux avec créativité, sens et intemporalité.
agency.philosophy.paragraph5_title;Egon,
agency.philosophy.side_title;EGON - Philosophie
agency.philosophy.title;Egon, un partenaire libre, créatif et engagé qui comprend votre marque et ses défis, avec passion,
agency.scroll;Scroll
common.egon;Egon
contact.address1;71-73 rue de Chézy
contact.address2;92200 Neuilly-sur-Seine – France
contact.side_title;CONTACT
creation.customers.paragraph;chers Clients, que nous existons et que nous avons la capacité aujourd'hui de participer à un monde où l'on communique mieux avec créativité, sens et intemporalité. Alors Merci à vous. Merci de votre confiance.
creation.customers.side_title;CREATION - Les clients
creation.customers.thanks;Merci !
creation.customers.title;C'est grâce à vous,
creation.projects.contact;Et si on s'en parlait ?
creation.projects.paragraph;Nous aimons ce que vous aimez à travers vos yeux, votre histoire, votre sens, vos sens. Notre inspiration naît d'ailleurs, d'ici, de votre héritage, de vos mots surtout qui nous guident à chaque pas de notre réflexion. Nous revendiquons la justesse, la cohérence, la longévité.
creation.projects.side_title;CREATION - Les projets
creation.projects.title;La création est un parcours. Un parcours de sens, de culture, d'imaginaire. L'issue est plurielle, protéiforme.
expertises.creation.closing;Nous croyons que vivre reste un art en quête de perpétuité
expertises.creation.column1.item1;Direction de Création
expertises.creation.column1.item2;Mood
expertises.creation.column1.title;Territoire d'expression
expertises.creation.column2.item1;Logo
expertises.creation.column2.item2;Charte graphique
expertises.creation.column2.title;Identité visuelle
expertises.creation.column3.title;Publicité
expertises.creation.column4.title;Campagne d'activation globale
expertises.creation.column5.title;Illustration
expertises.creation.paragraph1;Créer, innover, donner une véritable identité à votre maison, lui offrir une Direction Artistique singulière, unique et signée sont autant de gages de réussites, pour longtemps.
expertises.creation.paragraph2;Nous créons autrement, pour innover sans exploiter. Surprendre avec sens et cohérence. Imaginer avec grandeur et inventivité dans une démarche éco-conceptuelle.
expertises.creation.side_title;SKILLS - Création
expertises.creation.title;Direction Artistique
expertises.digital.closing;Nous captons l'air du temps et rêvons à des souffles nouveaux
expertises.digital.column1.item1;UX & UI design
expertises.digital.column1.item2;Webdesign
expertises.digital.column1.item3;Développement
expertises.digital.column1.title;Site Web et e-shop
expertises.digital.column2.item1;Stratégie SEO
expertises.digital.column2.item2;Campagne SEA
expertises.digital.column2.item3;Audit sémantique
expertises.digital.column2.item4;Accompagnement technique
expertises.digital.column2.item5;Copywriting
expertises.digital.column2.title;Référencement
expertises.digital.column3.item1;Stratégie
expertises.digital.column3.item2;Calendrier éditorial
expertises.digital.column3.item3;Production de contenu
expertises.digital.column3.item4;Guidelines
expertises.digital.column3.title;Social Media
expertises.digital.paragraph1;Nous croyons à la simplicité et à la pertinence digitale. Ce qui est en ligne doit être utile. Nous créons en intégrant le principe de sobriété fonctionnelle et défendons l'accessibilité à tous.
expertises.digital.paragraph2;La communication devient conversation, instantanée, directe et universelle. Nous croyons au lien entre les femmes et les hommes. Nous faisons rêver mais nos dires sont vrais et vérifiés. Nous créons, produisons mais ne saturons pas nos audiences.
expertises.digital.side_title;SKILLS - Digital
expertises.digital.title;Site Web & Social Media
expertises.edition.closing;Nous avons la culture de la racine pour mieux appartenir à demain
expertises.edition.column1.item1;Story-telling
